(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(0.09),0.200,0.537,0.503,0.101,0.223,0.175,0.503,0.223,0.175,0.414,0.414,0.515,0.515
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(min_0.03),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(min_0.05),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(min_0.07),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(min_0.09),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(min_0.11),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(min_0.13),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(0.03),0.500,0.715,0.822,0.017,0.515,0.439,0.822,0.515,0.439,0.551,0.551,0.694,0.694
(0.05),0.523,0.727,0.834,0.016,0.539,0.461,0.834,0.539,0.461,0.578,0.578,0.716,0.716
(0.07),0.559,0.743,0.847,0.016,0.576,0.493,0.847,0.576,0.493,0.613,0.613,0.769,0.769
(0.09),0.610,0.767,0.857,0.014,0.627,0.533,0.857,0.627,0.533,0.662,0.662,0.866,0.866
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(no_mean_sub_0.03),0.500,0.715,0.822,0.017,0.515,0.439,0.822,0.515,0.439,0.551,0.551,0.694,0.694
(no_mean_sub_0.05),0.523,0.727,0.834,0.016,0.539,0.461,0.834,0.539,0.461,0.578,0.578,0.716,0.716
(no_mean_sub_0.07),0.559,0.743,0.847,0.016,0.576,0.493,0.847,0.576,0.493,0.613,0.613,0.769,0.769
(no_mean_sub_0.09),0.610,0.767,0.857,0.014,0.627,0.533,0.857,0.627,0.533,0.662,0.662,0.866,0.866
(no_mean_sub_0.11),0.605,0.765,0.848,0.009,0.624,0.534,0.848,0.624,0.534,0.668,0.668,0.822,0.822
(no_mean_sub_0.13),0.638,0.782,0.859,0.007,0.652,0.561,0.859,0.652,0.561,0.678,0.678,0.835,0.835
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(general_0.03),0.208,0.552,0.630,0.065,0.218,0.176,0.630,0.218,0.176,0.301,0.301,0.445,0.445
(general_0.05),0.212,0.557,0.620,0.064,0.225,0.180,0.620,0.225,0.180,0.318,0.318,0.466,0.466
(general_0.07),0.217,0.564,0.635,0.058,0.231,0.187,0.635,0.231,0.187,0.315,0.315,0.455,0.455
(general_0.09),0.242,0.570,0.623,0.060,0.259,0.205,0.623,0.259,0.205,0.350,0.350,0.538,0.538
(general_0.11),0.214,0.571,0.505,0.057,0.228,0.188,0.505,0.228,0.188,0.313,0.313,0.436,0.436
(general_0.13),0.227,0.579,0.456,0.055,0.236,0.198,0.456,0.236,0.198,0.317,0.317,0.389,0.389
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(min_0.03),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(min_0.05),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(min_0.07),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(min_0.09),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(min_0.11),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(min_0.13),0.000,0.493,0.250,0.014,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(no_tracking_0.03),0.281,0.621,0.596,0.011,0.292,0.252,0.596,0.292,0.252,0.318,0.318,0.384,0.384
(no_tracking_0.05),0.236,0.600,0.551,0.012,0.245,0.211,0.551,0.245,0.211,0.266,0.266,0.319,0.319
(no_tracking_0.07),0.201,0.586,0.495,0.012,0.209,0.181,0.495,0.209,0.181,0.229,0.229,0.267,0.267
(no_tracking_0.09),0.175,0.574,0.454,0.012,0.182,0.158,0.454,0.182,0.158,0.201,0.201,0.232,0.232
(no_tracking_0.11),0.148,0.562,0.414,0.013,0.154,0.134,0.414,0.154,0.134,0.169,0.169,0.194,0.194
(no_tracking_0.13),0.122,0.550,0.372,0.013,0.127,0.110,0.372,0.127,0.110,0.142,0.142,0.162,0.162
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(full_0.03),0.514,0.723,0.825,0.010,0.529,0.451,0.825,0.529,0.451,0.568,0.568,0.716,0.716
(full_0.05),0.551,0.739,0.852,0.010,0.568,0.484,0.852,0.568,0.484,0.611,0.611,0.765,0.765
(full_0.07),0.570,0.748,0.861,0.010,0.589,0.502,0.861,0.589,0.502,0.634,0.634,0.790,0.790
(full_0.09),0.628,0.776,0.878,0.008,0.648,0.550,0.878,0.648,0.550,0.690,0.690,0.890,0.890
(full_0.11),0.617,0.770,0.864,0.009,0.639,0.546,0.864,0.639,0.546,0.689,0.689,0.830,0.830
(full_0.13),0.616,0.768,0.861,0.009,0.638,0.544,0.861,0.638,0.544,0.690,0.690,0.831,0.831
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(min_final_0.03),0.281,0.621,0.596,0.011,0.292,0.252,0.596,0.292,0.252,0.318,0.318,0.384,0.384
(min_final_0.05),0.236,0.600,0.551,0.012,0.245,0.211,0.551,0.245,0.211,0.266,0.266,0.319,0.319
(min_final_0.07),0.201,0.586,0.495,0.012,0.209,0.181,0.495,0.209,0.181,0.229,0.229,0.267,0.267
(min_final_0.09),0.175,0.574,0.454,0.012,0.182,0.158,0.454,0.182,0.158,0.201,0.201,0.232,0.232
(min_final_0.11),0.148,0.562,0.414,0.013,0.154,0.134,0.414,0.154,0.134,0.169,0.169,0.194,0.194
(min_final_0.13),0.122,0.550,0.372,0.013,0.127,0.110,0.372,0.127,0.110,0.142,0.142,0.162,0.162
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(min_0.03),0.281,0.621,0.596,0.011,0.292,0.252,0.596,0.292,0.252,0.318,0.318,0.384,0.384
(min_0.05),0.236,0.600,0.551,0.012,0.245,0.211,0.551,0.245,0.211,0.266,0.266,0.319,0.319
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(model),seq_wFm,seq_Sm,seq_meanEm,seq_MAE,seq_meanDic,seq_meanIoU,seq_maxEm,seq_maxDice,seq_maxIoU,seq_meanSen,seq_maxSen,seq_meanSpe,seq_maxSpe
(moca-mask-te),0.476,0.734,0.755,0.010,0.511,0.438,0.755,0.511,0.438,0.553,0.553,0.735,0.735
